Company,Store_ID,Region,Location_Type,Customer_Age,Customer_Gender,Customer_Income,Family_Size,Product_Category,Units_Sold,Price_Per_Unit,Sales,Total_Cost,Profit,Profit_Margin (%),Date
Walmart,1501,North,Suburban,40,Male,58759,1,Clothing,13,237.16734516035234,3083.1754870845803,1602.200988479056,1480.9744986055243,48.03406438619292,2023-01-01
Target,1958,East,Rural,20,Male,96067,2,Toys,18,464.6349887825973,8363.429798086752,4820.88881484159,3542.5409832451624,42.35751442614568,2023-01-02
Walmart,1144,North,Suburban,21,Female,45307,1,Groceries,13,322.3376212731689,4190.389076551196,3420.2183726252283,770.1707039259677,18.3794556986541,2023-01-03
Walmart,1200,East,Rural,42,Male,116371,1,Electronics,17,159.2681937440512,2707.55929364887,1845.4278297655264,862.1314638833437,31.84164667808561,2023-01-04
Walmart,1928,South,Urban,64,Male,31064,3,Electronics,5,265.0325409031071,1325.1627045155353,822.4819730458285,502.68073146970687,37.93351033475405,2023-01-05
Target,1723,East,Rural,55,Male,96848,4,Furniture,11,37.69737737196923,414.67115109166156,271.032228122712,143.63892296894954,34.63923704140168,2023-01-06
Walmart,1460,South,Suburban,32,Female,57548,2,Electronics,7,486.42127664661973,3404.948936526338,2866.1491539699273,538.7997825564107,15.824019466972791,2023-01-07
Walmart,1731,East,Urban,38,Female,56945,2,Toys,10,183.2296514557094,1832.2965145570938,1465.103572877663,367.19294167943076,20.04003930380173,2023-01-08
Walmart,1751,South,Suburban,52,Female,67937,3,Groceries,17,241.54434068200223,4106.2537915940375,2500.4053486707217,1605.8484429233158,39.10738411275669,2023-01-09
Target,1924,South,Suburban,63,Female,26476,3,Clothing,15,180.8655672472767,2712.98350870915,1484.0039762502338,1228.9795324589163,45.29992639150506,2023-01-10
Walmart,1908,West,Rural,69,Female,71756,3,Electronics,18,342.8433064075191,6171.179515335343,3707.640262992004,2463.5392523433393,39.92007113423713,2023-01-11
Walmart,1557,South,Suburban,31,Female,110101,5,Clothing,19,332.80491837314855,6323.293449089822,5490.532018609548,832.7614304802746,13.169741957810652,2023-01-12
